,0
0,34.214129320567004
1,10.1873531123037
2,0.0
3,0.0
4,0.480535524165267
5,0.0
6,4.03649840298824
7,154.348010361884
8,0.0
9,107.447743203354
10,0.0
11,0.0
12,0.0
13,0.0
14,450.261786142855
15,0.0
16,1257.2731454260002
17,2.59489183049244
18,0.0
19,144.400925011663
20,0.0
21,0.0
22,817.775355024451
23,5.38199787065099
24,0.0
25,1.05717815316359
26,0.0
27,44.59369664253671
28,69.4854367942975
29,0.0
30,0.480535524165267
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,29.697095393413505
37,0.0
38,0.0
39,0.0
40,11.3406383703003
41,0.0
42,0.0
43,89.18739328507351
44,2.59489183049244
45,0.480535524165267
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,21.5279914826039
52,0.0
53,81.21050358393009
54,0.0
55,0.0
56,95.2421408895558
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.480535524165267
63,2.1143563063271698
64,0.0
65,150.263458406479
66,0.0
67,0.0
68,0.480535524165267
69,0.0
70,0.0
71,39.980555610550205
72,12.3017094186308
73,0.0
74,93.99274852672607
75,0.0
76,1.63382078216191
77,0.0
78,0.0
79,0.0
80,6.63139023348068
81,0.480535524165267
82,65.4489383913093
83,2.59489183049244
84,144.929514088244
85,51.70562240018271
86,24.1228833130964
87,0.0
88,291.156474091735
89,0.0
90,0.0
91,0.0
92,23.1618122647658
93,0.480535524165267
94,32.1958801190729
95,70.254293632962
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,1.63382078216191
104,0.0
105,0.0
106,0.0
107,121.671594718645
108,167.56273727642798
109,0.0
110,48.5340879406919
111,0.0
112,0.0
113,3.07542735465771
114,0.0
115,397.114557170176
116,55.0693710693395
117,0.0
118,0.0
119,0.480535524165267
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,87.3613582932455
127,210.52261313680305
128,1.63382078216191
129,0.0
130,67.2749733831373
131,0.0
132,297.835917877632
133,171.11870015525102
134,0.0
135,0.0
136,0.0
137,2.1143563063271698
138,6.24696181414847
139,49.01462346485721
140,0.0
141,3.5559628788229705
142,0.480535524165267
143,0.0
